"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-08","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-09","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-10","0.00","64","56","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-11","0.00","63","55","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-12","0.00","62","40","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-13","0.00","60","49","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-14","0.00","60","52","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-15","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-16","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-17","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-18","0.00","62","52","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-19","0.00","62","52","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-20","0.00","63","52","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-21","0.00","63","52","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-22","0.00","62","51","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-23","0.00","61","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-24","0.00","59","51","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-25","0.00","57","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-26","0.00","57","52","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-27","0.00","57","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-28","0.00","60","51","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-29","0.00","65","51","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-30","0.00","66","58","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-01","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-02","0.37","71","54","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-03","0.00","65","54","64"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-04","0.00","68","59","64"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-05","0.00","64","54","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-06","0.00","63","54","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-07","0.00","75","54","65"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-08","0.00","75","54","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-09","0.00","75","54","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-10","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-11","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-12","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-13","0.00","76","52","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-14","0.00","61","53","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-15","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-16","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-17","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-18","0.00","60","54","58"
